"Year","Replicate","Variety","Resistance.category","Final.mortality","mortality.average.cultivator","Year_group","total_precip_sum_year","soil_temp_sum_year","air_temp_sum_year","sum_wind_speed_year","humid_sum_year","sol_rad_sum_year","dew_point_sum_year","vap_pres_sum_year","eto_sum_year","accumulatedairDD0","accumulatedairDD10","accumulatedairDD20","accumulatedairDD25","accumulatedairDD30","accumulatedsoilDD0","accumulatedsoilDD10","accumulatedsoilDD20","accumulatedsoilDD25","accumulatedsoilDD30"
"2019-2020",1,"Ruby June",4,95,83.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",2,"Ruby June",4,90,83.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",3,"Ruby June",4,88.9,83.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",4,"Ruby June",4,100,83.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2020-2021",1,"Ruby June ",4,65,83.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",2,"Ruby June ",4,55,83.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"Ruby June ",4,26.3,83.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"Ruby June ",4,73.7,83.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2016-2017",1,"Sweet Ann",4,85,75.4,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",2,"Sweet Ann",4,70,75.4,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",3,"Sweet Ann",4,60,75.4,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",4,"Sweet Ann",4,60,75.4,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2017-2018",1,"Sweet Ann",4,100,75.4,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",2,"Sweet Ann",4,95,75.4,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",3,"Sweet Ann",4,90,75.4,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",4,"Sweet Ann",4,95,75.4,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2018-2019",1,"Sweet Ann",4,94.7,75.4,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",2,"Sweet Ann",4,90,75.4,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",3,"Sweet Ann",4,85,75.4,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",4,"Sweet Ann",4,90,75.4,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2019-2020",1,"Sweet Ann",4,90,75.4,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",2,"Sweet Ann",4,80,75.4,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",3,"Sweet Ann",4,81.3,75.4,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",4,"Sweet Ann",4,100,75.4,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2020-2021",1,"Sweet Ann ",4,52.6,75.4,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",2,"Sweet Ann ",4,35,75.4,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"Sweet Ann ",4,20,75.4,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"Sweet Ann ",4,35,75.4,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
